"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.272727272727273,0.992592592592593,0.6,0.971014492753623,0.6,0.272727272727273,0.375,0.0391459074733096,0.0106761565836299,0.0177935943060498,0.632659932659933
"Class: 2",0.761904761904762,0.954128440366973,0.827586206896552,0.932735426008969,0.827586206896552,0.761904761904762,0.793388429752066,0.224199288256228,0.170818505338078,0.206405693950178,0.858016601135867
"Class: 3",0.962962962962963,0.991189427312775,0.962962962962963,0.991189427312775,0.962962962962963,0.962962962962963,0.962962962962963,0.192170818505338,0.185053380782918,0.192170818505338,0.977076195137869
"Class: 4",1,0.91703056768559,0.732394366197183,1,0.732394366197183,1,0.845528455284553,0.185053380782918,0.185053380782918,0.252669039145907,0.958515283842795
"Class: 5",0.58695652173913,0.965957446808511,0.771428571428571,0.922764227642276,0.771428571428571,0.58695652173913,0.666666666666667,0.163701067615658,0.096085409252669,0.124555160142349,0.77645698427382
"Class: 6",0.836363636363636,0.946902654867257,0.793103448275862,0.959641255605381,0.793103448275862,0.836363636363636,0.814159292035398,0.195729537366548,0.163701067615658,0.206405693950178,0.891633145615446
