"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.669565217391304,0.874149659863946,0.675438596491228,0.871186440677966,0.675438596491228,0.669565217391304,0.672489082969432,0.281173594132029,0.188264058679707,0.278728606356968,0.771857438627625
"Class: 2",1,0.986348122866894,0.966666666666667,1,0.966666666666667,1,0.983050847457627,0.28361858190709,0.28361858190709,0.293398533007335,0.993174061433447
"Class: 3",0.647058823529412,0.997448979591837,0.916666666666667,0.984886649874055,0.916666666666667,0.647058823529412,0.758620689655172,0.0415647921760391,0.0268948655256724,0.0293398533007335,0.822253901560624
"Class: 4",0.6,0.947802197802198,0.58695652173913,0.950413223140496,0.58695652173913,0.6,0.593406593406593,0.110024449877751,0.0660146699266504,0.112469437652812,0.773901098901099
"Class: 5",0.732758620689655,0.890784982935154,0.726495726495727,0.893835616438356,0.726495726495726,0.732758620689655,0.729613733905579,0.28361858190709,0.207823960880196,0.286063569682152,0.811771801812404
